country,dimension,rhetoric_raw,readiness_raw,pillar,text_proximate,rhetoric_z,readiness_z,quadrant
Benin,Vision,0.6258676648139954,100.0,Government,True,-0.16763408506154145,0.7844645405527361,walk>talk
Benin,Governance and Ethics,0.6222699284553528,56.21316266,Government,True,-0.48044186195420646,-0.7287254682466183,aligned-low
Benin,Digital Capacity,0.5689612627029419,43.51513442,Government,False,0.6434947634851221,0.050528813986305286,aligned-high
Benin,Adaptability,0.4961747527122497,39.94480016,Government,False,0.024052193551691952,-0.19902265320751805,talk>walk
Benin,Maturity,0.5853433012962341,5.992781233,Technology Sector,False,-1.177774620795905,-1.2022816051298097,aligned-low
Benin,Innovation Capacity,0.5507835745811462,36.78841809,Technology Sector,False,-0.3125540673670865,-0.992151171848941,aligned-low
Benin,Human Capital,0.4571652114391327,30.12650243,Technology Sector,False,0.5232827951230421,-0.8589912705770799,talk>walk
Benin,Infrastructure,0.6055389642715454,26.59020079,Data and Infrastructure,False,-1.3459165148516536,-0.7503552815715292,aligned-low
Benin,Data Availability,0.6186462640762329,47.41968283,Data and Infrastructure,False,0.6794506893319061,-0.30854414027194116,talk>walk
Côte d'Ivoire,Vision,0.6209853291511536,0.0,Government,True,-0.34838027911326575,-1.5689290811054724,aligned-low
Côte d'Ivoire,Governance and Ethics,0.63303142786026,53.55253818,Government,True,-0.231276000574356,-0.949249735112183,aligned-low
Côte d'Ivoire,Digital Capacity,0.600544273853302,34.20874106,Government,False,1.5287449768639008,-0.790986922812111,talk>walk
Côte d'Ivoire,Adaptability,0.5916653871536255,36.82618047,Government,False,2.378364491107136,-0.6801942305476179,talk>walk
Côte d'Ivoire,Maturity,0.6368741393089294,8.260002397,Technology Sector,False,1.2394486556310493,-0.8392598111712668,talk>walk
Côte d'Ivoire,Innovation Capacity,0.6014596223831177,37.02558891,Technology Sector,False,1.8364096446564873,-0.9607023238291983,talk>walk
Côte d'Ivoire,Human Capital,0.4949499070644378,33.01390347,Technology Sector,False,1.9971715966255197,-0.35800696371393465,talk>walk
Côte d'Ivoire,Infrastructure,0.6368154883384705,31.64143793,Data and Infrastructure,False,0.06779549045355568,-0.01713167864641952,talk>walk
Côte d'Ivoire,Data Availability,0.6033539175987244,44.837767,Data and Infrastructure,False,-0.2760288500916302,-0.5544415991662495,aligned-low
Egypt,Vision,0.618086576461792,100.0,Government,True,-0.45569336700414265,0.7844645405527361,walk>talk
Egypt,Governance and Ethics,0.6378793120384216,70.02051421,Government,True,-0.11903074629588847,0.41568859725084123,walk>talk
Egypt,Digital Capacity,0.5161568522453308,58.34293655,Government,False,-0.8365767661862287,1.391309108977841,walk>talk
